destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15031,,,,,,,,,,,,,,,,,,751,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31596,,,,,,,,,,,,,,,,,,,8896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,,,,,,,,2373,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,,,,,743,,,,,,,,,,,,,,,1382,,7256,,,,707,,,2161,,,,1144,,,,1171,,,2225,,,,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,,,,,,,,,3757,,,,,,,,,11076,,,,,30319,1527,,,,2941,,,,,,,,,,,,,,764,,1046,,,,,,,,158854,2263,,
American_Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,,,,,,,,,,,,,,,1115,,,,,295,,,,,,,,,15813,,,,,,,,,,,,,,,,,,,,,,,,,,,1288,,,,,,,,,,,2548,,,,,,211,,,,,
Andorra,,,,,,,,,682,,,65,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,3890,,,,,339,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,244,,,,,,,,,,,,,,,,,425,,10697,,,,,,,,,,,,,,,,,,,,,,,,,,,20577,,,,,49,80,,,,,,,,,,,,,,,1054,,105,,102,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8877,,,,,,31,,,,,,,,1021,,,46,,,,,,,77548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,859,,,,,,,,,,,,,,,,,,,,,,6012,,,,,,,1215,,,,,,,6601,,,,,,,,,,,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,454,406,,,,,,,,,,
Antigua_and_Barbuda,,,,,,,39,,,,5,7,,,2,,,302,,,14,,14,,,,,,98,,,,,,,,434,,,,,,134,,,,,,,,,,20,19,,,,,,,4745,1784,,10,,,,,,90,,,,,41,,,,,83,31,,,192,,,,,6472,33,7,,,79,,,,,,,72,3990,20,,,,,,,,,55,,,,,,,,,,,,,,5,,,,,1138,,,,,,,16,,12,,,40,,,,,,0,,,,,,,,,53,,,,,,,476,676,,918,,,,,,,,,23,,,,,45,,12,,,,45,,,244,,,,,,720,,,,6,,,,994,,2626,711,,,,39,,,,,,
Argentina,9,66,104,,1,9,,,,561,1,275,1022,,,12,,7,304,537,6,,,,419048,,,48792,,1,295,11,,24,20,,530,,,,,213119,14397,4,,8640,,42,,123,1,986,1106,,47,1793,14,,245,,4,684,955,238,73,,,49,,32,,,1,70,8160,,,,,9242,,1017,15,11,,96,1,,,41,66,816,8,97,21,137,37,64,,557,152338,11,4453,73,,2,,,,283,124,791,,,51,78,392,96,7,,2,,2,,,1450,4,10,,,,212,11,9,2,,,387,,11,91,1,43,,1489,,58,,5,,161,,679044,195320,58,7315,4961,75,,8154,456,1078,1884,,,,,,,16,,80,,,,2,,,810,,2,126,,98050,2,,8,5,204,794,1125,,60,,,,34,45,635,,,1,4408,,943,1,5135,,132749,,8,1240,5,,,,1,2
Armenia,,,,,,,,,,,,,,78908,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38094,635,,1021,,,,,,,,,,,,,,8135,1033,,,,,,,,791,,,,,,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19170,,,,,,,,,,,,,,,,,,,,,,,,,,,,17538,,,,,,,,542,816,,,2464,,,,,,,989,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,,,9762,,,,,,,,2455,,,,,,,107,4327,,,,,,,,,,,,,,,,,,,,,,258,,,,,289,1632,,,,330,,,,,,,,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585,,,107,,,,,,,,,,,,,1134,1004,,164,,,,,,,,,,,113,,,,,,,,,701,,,,,,,,,,,1337,,,,,,,,,,,10,,,,,,,,612,,,,,3399,,,,,,
Australia,49550,3460,1600,120,20,560,,60,15510,1460,70,,17990,650,310,1730,43090,450,2180,7290,80,110,580,5850,1050,36750,1320,26790,0,2890,3930,60,2390,40,34420,450,52590,130,30,70,,30180,508870,95050,2780,19810,,1610,8040,500,600,61820,880,150,20100,13240,220,4270,10230,190,40,210,2810,44680,11350,,4660,3440,390,13130,120,30,72600,9210,36670,530,50,130,620,119100,5900,115820,,140,120,540,940,20,660,120,320,21120,610,449040,77000,61690,70870,90530,810,11240,198510,1290,47560,6530,1920,19720,650,6580,490,11030,4990,93290,150,3520,2790,20,3370,250,290,1400,143420,80,44070,50,60,5390,40,80,1780,2030,,2170,1010,32160,1430,690,50150,80620,1560,575430,860,30,8360,940,49990,0,4360,1560,62270,,250,,500,11270,241130,54530,19140,170,1100,106550,1160,17070,25760,980,19,13,,47,27780,,,14480,430,33820,3990,59480,,6720,8060,2300,8650,177390,7480,17730,119700,3190,19730,170,11480,14190,14170,160,66400,10000,370,11880,1910,660,39710,100,,3800,17090,8090,1206060,4500,104650,,10580,1840,1380,5760,235590,,,710,7310,40170
Austria,8620,3147,1290,,2,341,,7,1523,3051,,2490,,1076,22,21,2737,21,1667,2575,41,80,19,24,509,155164,25,5186,,6,15733,121,97,41,958,654,2547,,29,12,,1258,17713,281,17,1570,,457,,179,213,40006,879,,325,54997,2687,700,1418,7,51,3125,662,14891,68,10,104,372,23,1276,,,18,1598,8964,,24,628,3316,223705,2474,4003,,15,1,372,303,68,19,63,98,44468,188,13576,1214,15495,5524,985,,2562,29738,208,2970,749,1103,982,,253,648,124,806,1841,4,274,459,378,909,763,75,38,483,99,108,,33,1512,1,24,1804,21842,,1926,67,71,183,1,588,8476,,443,208,31,8485,,21921,,966,31,4814,1,62,60,229,1688,13856,65989,1723,6,25,125,1779,70267,30972,211,2,14,,10,4,1,2,477,335,195177,267,286,,27170,17908,14,1215,2792,,4122,981,277,635,20,3551,15802,3320,284,5604,,219,7,70,3690,184847,140,,274,8232,176,11013,157,11054,,282,754,7,915,3344,,,95,113,298
Azerbaijan,186,,,,,,,,,148503,,,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,51141,285,,,,,,,,,,,,,,,,1530,,,,,,,,,3621,,,,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,28760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,2121,1724,,,2817,,,,,,,17030,,,,,,,,
